,Model Name,Accuracy Balanced,Precision @K Mean,Recall @K Mean,ROC AUC Score,Top K Score,parameters
0,LGBMClassifier,0.5002,0.3102,0.8301,0.8552,0.8774,"{'n_estimators': 400, 'learning_rate': 0.01, 'max_depth': 18, 'num_leaves': 30, 'min_child_samples': 120}"
0,LGBMClassifier,0.5135,0.307,0.8216,0.8504,0.8758,"{'n_estimators': 650, 'learning_rate': 0.1, 'max_depth': 7, 'num_leaves': 75, 'min_child_samples': 200}"
0,LGBMClassifier,0.5072,0.3087,0.8262,0.8534,0.877,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 9, 'num_leaves': 120, 'min_child_samples': 200}"
0,LGBMClassifier,0.5048,0.3091,0.8271,0.854,0.8773,"{'n_estimators': 1200, 'learning_rate': 0.01, 'max_depth': 9, 'num_leaves': 120, 'min_child_samples': 20}"
0,LGBMClassifier,0.5018,0.3098,0.8291,0.8549,0.8775,"{'n_estimators': 650, 'learning_rate': 0.01, 'max_depth': 13, 'num_leaves': 120, 'min_child_samples': 20}"
0,LGBMClassifier,0.5023,0.3102,0.8302,0.8553,0.8775,"{'n_estimators': 1200, 'learning_rate': 0.01, 'max_depth': 7, 'num_leaves': 120, 'min_child_samples': 120}"
0,LGBMClassifier,0.5161,0.3066,0.8206,0.8496,0.8754,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 7, 'num_leaves': 120, 'min_child_samples': 200}"
0,LGBMClassifier,0.5055,0.3095,0.8283,0.854,0.8772,"{'n_estimators': 1200, 'learning_rate': 0.01, 'max_depth': 18, 'num_leaves': 120, 'min_child_samples': 200}"
0,LGBMClassifier,0.5134,0.3071,0.822,0.851,0.8763,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 9, 'num_leaves': 75, 'min_child_samples': 200}"
0,LGBMClassifier,0.5248,0.3026,0.8097,0.845,0.8734,"{'n_estimators': 650, 'learning_rate': 0.1, 'max_depth': 18, 'num_leaves': 120, 'min_child_samples': 120}"
0,LGBMClassifier,0.505,0.3094,0.8281,0.854,0.8773,"{'n_estimators': 1200, 'learning_rate': 0.01, 'max_depth': 18, 'num_leaves': 120, 'min_child_samples': 120}"
0,LGBMClassifier,0.5335,0.3016,0.8071,0.8428,0.8719,"{'n_estimators': 1200, 'learning_rate': 0.1, 'max_depth': 18, 'num_leaves': 85, 'min_child_samples': 120}"
0,LGBMClassifier,0.5005,0.3105,0.8311,0.8555,0.8775,"{'n_estimators': 800, 'learning_rate': 0.01, 'max_depth': 7, 'num_leaves': 30, 'min_child_samples': 120}"
0,LGBMClassifier,0.5155,0.3056,0.8178,0.8492,0.8754,"{'n_estimators': 1200, 'learning_rate': 0.1, 'max_depth': 13, 'num_leaves': 30, 'min_child_samples': 80}"
0,LGBMClassifier,0.503,0.3104,0.8307,0.8551,0.8773,"{'n_estimators': 1200, 'learning_rate': 0.01, 'max_depth': 18, 'num_leaves': 75, 'min_child_samples': 200}"
0,LGBMClassifier,0.5004,0.31,0.8297,0.8553,0.8775,"{'n_estimators': 400, 'learning_rate': 0.01, 'max_depth': 9, 'num_leaves': 120, 'min_child_samples': 80}"
0,LGBMClassifier,0.5146,0.3055,0.8177,0.8482,0.8749,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 7, 'num_leaves': 55, 'min_child_samples': 20}"
0,LGBMClassifier,0.5243,0.3028,0.8103,0.8453,0.8737,"{'n_estimators': 1200, 'learning_rate': 0.1, 'max_depth': 13, 'num_leaves': 55, 'min_child_samples': 200}"
0,LGBMClassifier,0.5042,0.3098,0.829,0.8544,0.8773,"{'n_estimators': 650, 'learning_rate': 0.05, 'max_depth': 13, 'num_leaves': 30, 'min_child_samples': 20}"
0,LGBMClassifier,0.5005,0.3104,0.8308,0.8554,0.8775,"{'n_estimators': 400, 'learning_rate': 0.01, 'max_depth': 18, 'num_leaves': 55, 'min_child_samples': 200}"
